OriginalText,Location1,Aspect1,Sentiment1,Location2,Aspect2,Sentiment2,MaskedText,LocationsInText,Date,Lemma_Tags,lem_words_masked,lem_tag_masked,lemma_tokens,Lemma_Tags_Orig,lem_words,lem_tag,lemma_tokens_Orig
Dorset is transforming and the prices will go up and up,Dorset,price,0,,,0,locationA is transforming and the prices will go up and up,"[('Dorset', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'transform/VB', 'price/NN', 'go/VB', 'up/RB']",locationa be transform price go up,NN VB VB NN VB RB,"['locationa', 'be', 'transform', 'price', 'go', 'up']","['dorset/NN', 'be/VB', 'transform/VB', 'price/NN', 'go/VB', 'up/RB']",dorset be transform price go up,NN VB VB NN VB RB,"['dorset', 'be', 'transform', 'price', 'go', 'up']"
Central London based taxis mostly refuse fares to suburban areas like Rutland,Rutland,transit-location,0,,,0,central london based taxis mostly refuse fares to suburban areas like locationA,"[('Central London', 'GPE'), ('Rutland', 'GPE')]",2021-07-23,"['central/JJ', 'london/NN', 'base/VB', 'taxi/NN', 'mostly/RB', 'refuse/JJ', 'fare/NN', 'suburban/JJ', 'area/NN', 'locationa/NN']",central london base taxi mostly refuse fare suburban area locationa,JJ NN VB NN RB JJ NN JJ NN NN,"['central', 'london', 'base', 'taxi', 'mostly', 'refuse', 'fare', 'suburban', 'area', 'locationa']","['central/JJ', 'london/NN', 'base/VB', 'taxi/NN', 'mostly/RB', 'refuse/JJ', 'fare/NN', 'suburban/JJ', 'area/NN', 'rutland/NN']",central london base taxi mostly refuse fare suburban area rutland,JJ NN VB NN RB JJ NN JJ NN NN,"['central', 'london', 'base', 'taxi', 'mostly', 'refuse', 'fare', 'suburban', 'area', 'rutland']"
Dont go looking at places like East Riding of Yorkshire now that IS a rough area you really would not want to live in,East Riding of Yorkshire,general,0,East Riding of Yorkshire,live,0,do not go looking at places like locationA now that is a rough area you really would not want to live in,"[('East Riding of Yorkshire', 'GPE')]",2021-07-23,"['do/VB', 'not/RB', 'go/VB', 'look/VB', 'place/NN', 'locationa/NN', 'now/RB', 'be/VB', 'rough/JJ', 'area/NN', 'really/RB', 'not/RB', 'want/VB', 'live/VB']",do not go look place locationa now be rough area really not want live,VB RB VB VB NN NN RB VB JJ NN RB RB VB VB,"['do', 'not', 'go', 'look', 'place', 'locationa', 'now', 'be', 'rough', 'area', 'really', 'not', 'want', 'live']","['dont/VB', 'go/VB', 'look/VB', 'place/NN', 'east/JJ', 'riding/NN', 'yorkshire/NN', 'now/RB', 'be/VB', 'rough/JJ', 'area/NN', 'really/RB', 'not/RB', 'want/VB', 'live/VB']",dont go look place east riding yorkshire now be rough area really not want live,VB VB VB NN JJ NN NN RB VB JJ NN RB RB VB VB,"['dont', 'go', 'look', 'place', 'east', 'riding', 'yorkshire', 'now', 'be', 'rough', 'area', 'really', 'not', 'want', 'live']"
For gods sake do not move to Isle of Wight its horrible,Isle of Wight,general,0,,,0,for gods sake do not move to locationA its horrible,"[('Isle of Wight', 'GPE')]",2021-07-23,"['god/NN', 'sake/NN', 'do/VB', 'not/RB', 'move/VB', 'locationa/VB', 'horrible/JJ']",god sake do not move locationa horrible,NN NN VB RB VB VB JJ,"['god', 'sake', 'do', 'not', 'move', 'locationa', 'horrible']","['god/NN', 'sake/NN', 'do/VB', 'not/RB', 'move/VB', 'isle/NN', 'horrible/JJ']",god sake do not move isle horrible,NN NN VB RB VB NN JJ,"['god', 'sake', 'do', 'not', 'move', 'isle', 'horrible']"
I dont like Oxfordshire at all,Oxfordshire,general,0,,,0,i dont like locationA at all,"[('Oxfordshire', 'GPE')]",2021-07-23,"['dont/VB', 'locationa/NN']",dont locationa,VB NN,"['dont', 'locationa']","['dont/VB', 'oxfordshire/NN']",dont oxfordshire,VB NN,"['dont', 'oxfordshire']"
I liv in Cornwall in West Midlands which is a place where a lot of violence happens wiv gangs e,Cornwall,safety,0,,,0,i liv in locationA in locationB which is a place where a lot of violence happens div gangs e,"[('Cornwall', 'GPE'), ('West Midlands', 'GPE')]",2021-07-23,"['liv/NN', 'locationa/NN', 'locationb/NN', 'be/VB', 'place/NN', 'lot/NN', 'violence/NN', 'happen/VB', 'div/JJ', 'gang/NN']",liv locationa locationb be place lot violence happen div gang,NN NN NN VB NN NN NN VB JJ NN,"['liv', 'locationa', 'locationb', 'be', 'place', 'lot', 'violence', 'happen', 'div', 'gang']","['liv/NN', 'cornwall/NN', 'west/JJ', 'midland/NN', 'be/VB', 'place/NN', 'lot/NN', 'violence/NN', 'happen/VB', 'wiv/JJ', 'gang/NN']",liv cornwall west midland be place lot violence happen wiv gang,NN NN JJ NN VB NN NN NN VB JJ NN,"['liv', 'cornwall', 'west', 'midland', 'be', 'place', 'lot', 'violence', 'happen', 'wiv', 'gang']"
I lived in Derbyshire for ten years it was rough  it was sooo close to the centre of town but so cheap,Derbyshire,safety,0,,,0,i lived in locationA for ten years it was rough  it was soo close to the centre of town but so cheap,"[('Derbyshire', 'GPE')]",2021-07-23,"['live/VB', 'locationa/NN', 'year/NN', 'be/VB', 'rough/JJ', 'be/VB', 'close/JJ', 'centre/NN', 'town/NN', 'so/RB', 'cheap/RB']",live locationa year be rough be close centre town so cheap,VB NN NN VB JJ VB JJ NN NN RB RB,"['live', 'locationa', 'year', 'be', 'rough', 'be', 'close', 'centre', 'town', 'so', 'cheap']","['live/VB', 'derbyshire/NN', 'year/NN', 'be/VB', 'rough/JJ', 'be/VB', 'sooo/RB', 'close/JJ', 'centre/NN', 'town/NN', 'so/RB', 'cheap/RB']",live derbyshire year be rough be sooo close centre town so cheap,VB NN NN VB JJ VB RB JJ NN NN RB RB,"['live', 'derbyshire', 'year', 'be', 'rough', 'be', 'sooo', 'close', 'centre', 'town', 'so', 'cheap']"
I would say either Gloucestershire or West Yorkshire if you have the money,Gloucestershire,price,0,West Yorkshire,price,0,i would say either locationA or locationB if you have the money,"[('Gloucestershire', 'GPE'), ('West Yorkshire', 'GPE')]",2021-07-23,"['say/VB', 'locationa/NN', 'locationb/VB', 'have/VB', 'money/NN']",say locationa locationb have money,VB NN VB VB NN,"['say', 'locationa', 'locationb', 'have', 'money']","['say/VB', 'gloucestershire/NN', 'west/RB', 'yorkshire/NN', 'have/VB', 'money/NN']",say gloucestershire west yorkshire have money,VB NN RB NN VB NN,"['say', 'gloucestershire', 'west', 'yorkshire', 'have', 'money']"
Id stay away from West Midlands,West Midlands,general,0,,,0,i would stay away from locationA,"[('West Midlands', 'GPE')]",2021-07-23,"['stay/VB', 'away/RB', 'locationa/NN']",stay away locationa,VB RB NN,"['stay', 'away', 'locationa']","['id/NN', 'stay/VB', 'away/RB', 'west/JJ', 'midland/NN']",id stay away west midland,NN VB RB JJ NN,"['id', 'stay', 'away', 'west', 'midland']"
Derbyshire aint too bad,Derbyshire,general,0,,,0,locationA aint too bad,"[('Derbyshire', 'GPE')]",2021-07-23,"['locationa/NN', 'aint/VB', 'too/RB', 'bad/JJ']",locationa aint too bad,NN VB RB JJ,"['locationa', 'aint', 'too', 'bad']","['derbyshire/NN', 'aint/VB', 'too/RB', 'bad/JJ']",derbyshire aint too bad,NN VB RB JJ,"['derbyshire', 'aint', 'too', 'bad']"
